Code,Flag,Name
AFG,🇦🇫,Afganistan
ALB,🇦🇱,Albania
ALG,🇩🇿,Algeria
AND,🇦🇩,Andorra
ANG,🇦🇴,Angola
ANT,🇦🇬
ARG,🇦🇷,Argentina
ARM,🇦🇲
ARU,🇦🇼
ASA,🇦🇸
AUS,🇦🇺,Australia
AUT,🇦🇹,Austria
AZE,🇦🇿
BAH,🇧🇸
BAN,🇧🇩
BAR,🇧🇧
BDI,🇧🇮
BEL,🇧🇪
BEN,🇧🇯
BER,🇧🇲
BHU,🇧🇹
BIH,🇧🇦
BLR,🇧🇾,Belarus
BOL,🇧🇴
BOT,🇧🇼
BRA,🇧🇷
BRN,🇧🇭
BRU,🇧🇳
BUL,🇧🇬
BUR,🇧🇫
CAF,🇨🇫
CAM,🇰🇭
CAN,🇨🇦,Canada
CAY,🇰🇾
CGO,🇨🇬
CHA,🇹🇩
CHI,🇨🇱
CHN,🇨🇳,China
CIV,🇨🇮
CMR,🇨🇲
COD,🇨🇩
COK,🇨🇰
COL,🇨🇴
COM,🇰🇲
CPV,🇨🇻
CRC,🇨🇷
CRO,🇭🇷,Croatia
CUB,🇨🇺
CYP,🇨🇾
CZE,🇨🇿,Czech Republic
DEN,🇩🇰,Denmark
DJI,🇩🇯
DMA,🇩🇲
DOM,🇩🇴
ECU,🇪🇨
EGY,🇪🇬
ERI,🇪🇷
ESA,🇸🇻
ESP,🇪🇸,Spain
EST,🇪🇪
ETH,🇪🇹
FIJ,🇫🇯
FIN,🇫🇮,Finland
FRA,🇫🇷,France
GAB,🇬🇦
GAM,🇬🇲
GBR,🇬🇧
GBS,🇬🇼
GER,🇩🇪,Germany
GEO,🇬🇪
GEQ,🇬🇶
GHA,🇬🇭
GRE,🇬🇷
GRN,🇬🇩
GUM,🇬🇺
GUY,🇬🇾
HAI,🇭🇹
HKG,🇭🇰
HON,🇭🇳
HUN,🇭🇺,Hungary
INA,🇮🇩
IND,🇮🇳
IRI,🇮🇷
IRL,🇮🇪
IRQ,🇮🇶
ISL,🇮🇸
ISR,🇮🇱
ISV,🇻🇮
ITA,🇮🇹,Italy
IVB,🇻🇬
JAM,🇯🇲
JOR,🇯🇴
JPN,🇯🇵,Japan
KAZ,🇰🇿
KEN,🇰🇪
KGZ,🇰🇬
KIR,🇰🇮
KOR,🇰🇷,South Korea
KOS,🇽🇰
KSA,🇸🇦
KUW,🇰🇼
LAO,🇱🇦
LAT,🇱🇻,Latvia
LBA,🇱🇾
LBN,🇱🇧
LBR,🇱🇷
LES,🇱🇸
LIE,🇱🇮
LTU,🇱🇹
LUX,🇱🇺
MAD,🇲🇬
MAR,🇲🇦
MAS,🇲🇾
MAW,🇲🇼
MDA,🇲🇩
MDV,🇲🇻
MEX,🇲🇽
MGL,🇲🇳
MHL,🇲🇭
MKD,🇲🇰
MLI,🇲🇱
MLT,🇲🇹
MNE,🇲🇪
MON,🇲🇨
MOZ,🇲🇿
MRI,🇲🇺
MTN,🇲🇷
MYA,🇲🇲
NAM,🇳🇦
NCA,🇳🇮
NED,🇳🇱,Netherlands
NEP,🇳🇵
NGR,🇳🇬
NIG,🇳🇪
NOR,🇳🇴,Norway
NRU,🇳🇷
NZL,🇳🇿,New Zealand
OMA,🇴🇲
OAR,🚣‍♂️
PAK,🇵🇰
PAN,🇵🇦
PAR,🇵🇾
PER,🇵🇪
PHI,🇵🇭
PLE,🇵🇸
PLW,🇵🇼
PNG,🇵🇬
POL,🇵🇱,Poland
POR,🇵🇹
PRK,🇰🇵
PUR,🇵🇷
QAT,🇶🇦
ROU,🇷🇴
RSA,🇿🇦
RUS,🇷🇺
RWA,🇷🇼
SAM,🇼🇸
SEN,🇸🇳
SEY,🇸🇨
SGP,🇸🇬
SKN,🇰🇳
SLE,🇸🇱
SLO,🇸🇮,Slovenia
SMR,🇸🇲
SOL,🇸🇧
SOM,🇸🇴
SRB,🇷🇸,Serbia
SRI,🇱🇰
SSD,🇸🇸
STP,🇸🇹
SUD,🇸🇩
SUI,🇨🇭,Switzerland
SUR,🇸🇷
SVK,🇸🇰,Slovakia
SWE,🇸🇪,Sweden
SWZ,🇸🇿
SYR,🇸🇾
TAN.🇹🇿
TGA,🇹🇴
THA,🇹🇭
TJK,🇹🇯
TKM,🇹🇲
TLS,🇹🇱
TOG,🇹🇬
TPE,🇹🇼
TTO,🇹🇹
TUN,🇹🇳
TUR,🇹🇷
TUV,🇹🇻
UAE,🇦🇪
UGA,🇺🇬
UKR,🇺🇦
URU,🇺🇾
USA,🇺🇸,United States
UZB,🇺🇿
VAN,🇻🇺
VEN,🇻🇪
VIE,🇻🇳
VIN,🇻🇨
YEM,🇾🇪
ZAM,🇿🇲
ZIM,🇿🇼
ROC,🏳️,ROC
