Rank,Country,Gold,Silver,Bronze
1,CHN,32,21,16
2,USA,24,28,21
3,JPN,19,6,11
4,AUS,14,4,15
5,ROC,13,21,18
6,GBR,13,17,13
7,GER,8,8,14
8,FRA,6,10,8
9,NED,6,7,7
10,KOR,6,4,9
11,NZL,6,4,5
12,ITA,5,9,15
13,HUN,4,4,3
14,CUB,4,3,4
15,CZE,4,3,1
16,CAN,3,4,7
17,SUI,3,4,5
18,BRA,3,3,8
19,CRO,3,3,2
20,TPE,2,4,4
21,SWE,2,3,0
22,POL,2,2,2
23,DEN,2,1,3
24,JAM,2,1,2
25,NOR,2,1,1
25,SLO,2,1,1
27,ECU,2,1,0
28,GRE,2,0,1
28,UZB,2,0,1
30,KOS,2,0,0
30,QAT,2,0,0
32,ESP,1,4,4
33,GEO,1,4,1
34,ROU,1,3,0
34,VEN,1,3,0
36,HKG,1,2,0
36,SVK,1,2,0
36,RSA,1,2,0
39,AUT,1,1,3
39,INA,1,1,3
39,SRB,1,1,3
42,BEL,1,1,1
42,ETH,1,1,1
44,PHI,1,1,0
44,TUN,1,1,0
46,TUR,1,0,5
47,IRL,1,0,2
47,ISR,1,0,2
49,BLR,1,0,1
49,EST,1,0,1
49,FIJ,1,0,1
49,IRI,1,0,1
49,LAT,1,0,1
54,BER,1,0,0
54,MAR,1,0,0
54,PUR,1,0,0
54,THA,1,0,0
58,ARM,0,2,1
58,COL,0,2,1
58,DOM,0,2,1
61,UKR,0,1,6
62,MGL,0,1,2
62,POR,0,1,2
64,IND,0,1,1
64,KEN,0,1,1
64,KGZ,0,1,1
64,NGR,0,1,1
64,SMR,0,1,1
64,UGA,0,1,1
70,BUL,0,1,0
70,JOR,0,1,0
70,NAM,0,1,0
70,MKD,0,1,0
70,TKM,0,1,0
75,AZE,0,0,3
75,KAZ,0,0,3
75,MEX,0,0,3
78,EGY,0,0,2
79,ARG,0,0,1
79,FIN,0,0,1
79,GHA,0,0,1
79,CIV,0,0,1
79,KUW,0,0,1
79,MAS,0,0,1
